source_ENSEMBL target_ENSEMBL interaction
ENSG00000128272 ENSG00000176046 1
ENSG00000128272 ENSG00000146678 1
ENSG00000128272 ENSG00000175197 1
ENSG00000128272 ENSG00000044574 -1
ENSG00000128272 ENSG00000112715 1
ENSG00000128272 ENSG00000105550 1
ENSG00000128272 ENSG00000168209 1
ENSG00000128272 ENSG00000147955 1
ENSG00000128272 ENSG00000185507 -1
ENSG00000128272 ENSG00000162772 1
ENSG00000128272 ENSG00000101255 1
ENSG00000128272 ENSG00000070669 1
ENSG00000128272 ENSG00000068903 -1
ENSG00000128272 ENSG00000283100 -1
ENSG00000128272 ENSG00000162733 1
ENSG00000128272 ENSG00000140941 1
ENSG00000128272 ENSG00000128965 1
ENSG00000128272 ENSG00000057663 1
ENSG00000169136 ENSG00000112576 1
ENSG00000169136 ENSG00000171791 1
ENSG00000169136 ENSG00000197408 1
ENSG00000169136 ENSG00000118260 1
ENSG00000169136 ENSG00000125968 -1
ENSG00000118217 ENSG00000182759 -1
ENSG00000118217 ENSG00000164211 1
ENSG00000118217 ENSG00000133318 1
ENSG00000118217 ENSG00000239779 1
ENSG00000118217 ENSG00000139515 -1
ENSG00000118217 ENSG00000131910 1
ENSG00000118217 ENSG00000102580 1
ENSG00000118217 ENSG00000104805 1
ENSG00000170653 ENSG00000120656 1
ENSG00000149311 ENSG00000185591 -1
ENSG00000149311 ENSG00000143384 1
ENSG00000149311 ENSG00000087088 1
ENSG00000149311 ENSG00000141682 -1
ENSG00000149311 ENSG00000147601 -1
ENSG00000149311 ENSG00000120889 -1
ENSG00000149311 ENSG00000112715 -1
ENSG00000149311 ENSG00000026103 1
ENSG00000149311 ENSG00000171791 -1
ENSG00000149311 ENSG00000117394 -1
ENSG00000149311 ENSG00000213809 1
ENSG00000149311 ENSG00000120129 1
ENSG00000149311 ENSG00000116717 1
ENSG00000149311 ENSG00000111206 1
ENSG00000172238 ENSG00000144485 1
ENSG00000172238 ENSG00000198788 1
ENSG00000085224 ENSG00000206172 -1
ENSG00000085224 ENSG00000188536 -1
ENSG00000156273 ENSG00000196611 1
ENSG00000112182 ENSG00000100219 -1
ENSG00000138376 ENSG00000091831 1
ENSG00000119866 ENSG00000102145 1
ENSG00000069399 ENSG00000146648 1
ENSG00000069399 ENSG00000102974 -1
ENSG00000069399 ENSG00000109320 -1
ENSG00000113916 ENSG00000136997 1
ENSG00000113916 ENSG00000109320 -1
ENSG00000113916 ENSG00000171552 -1
ENSG00000113916 ENSG00000118971 -1
ENSG00000113916 ENSG00000189067 -1
ENSG00000113916 ENSG00000061273 -1
ENSG00000113916 ENSG00000116030 -1
ENSG00000113916 ENSG00000147883 -1
ENSG00000113916 ENSG00000121594 -1
ENSG00000113916 ENSG00000071994 -1
ENSG00000113916 ENSG00000137265 -1
ENSG00000113916 ENSG00000104921 -1
ENSG00000113916 ENSG00000149554 -1
ENSG00000113916 ENSG00000113916 -1
ENSG00000113916 ENSG00000124762 -1
ENSG00000113916 ENSG00000100219 -1
ENSG00000123095 ENSG00000076242 -1
ENSG00000123095 ENSG00000110092 -1
ENSG00000168283 ENSG00000164362 -1
ENSG00000012048 ENSG00000160182 -1
ENSG00000012048 ENSG00000149311 1
ENSG00000012048 ENSG00000112715 1
ENSG00000012048 ENSG00000185507 1
ENSG00000012048 ENSG00000170581 1
ENSG00000012048 ENSG00000096717 1
ENSG00000012048 ENSG00000135828 1
ENSG00000012048 ENSG00000091831 1
ENSG00000012048 ENSG00000176692 -1
ENSG00000012048 ENSG00000088247 -1
ENSG00000012048 ENSG00000066279 1
ENSG00000012048 ENSG00000111276 1
ENSG00000012048 ENSG00000109321 -1
ENSG00000012048 ENSG00000196754 1
ENSG00000012048 ENSG00000135679 1
ENSG00000012048 ENSG00000163739 -1
ENSG00000012048 ENSG00000175197 1
ENSG00000012048 ENSG00000062038 -1
