source_ENSEMBL target_ENSEMBL interaction
ENSG00000123268 ENSG00000133636 1
ENSG00000123268 ENSG00000134333 1
ENSG00000123268 ENSG00000288299 1
ENSG00000123268 ENSG00000136634 1
ENSG00000123268 ENSG00000092969 1
ENSG00000123268 ENSG00000179142 1
ENSG00000123268 ENSG00000001626 1
ENSG00000123268 ENSG00000175426 1
ENSG00000123268 ENSG00000131747 1
ENSG00000123268 ENSG00000011422 1
ENSG00000123268 ENSG00000180176 1
ENSG00000123268 ENSG00000102755 1
ENSG00000115966 ENSG00000232810 1
ENSG00000115966 ENSG00000285241 1
ENSG00000115966 ENSG00000073756 1
ENSG00000115966 ENSG00000160882 1
ENSG00000115966 ENSG00000104368 1
ENSG00000115966 ENSG00000178035 1
ENSG00000115966 ENSG00000087245 1
ENSG00000115966 ENSG00000164867 -1
ENSG00000115966 ENSG00000124253 1
ENSG00000115966 ENSG00000115414 1
ENSG00000115966 ENSG00000177606 1
ENSG00000115966 ENSG00000120129 1
ENSG00000115966 ENSG00000171855 1
ENSG00000115966 ENSG00000092969 -1
ENSG00000115966 ENSG00000254647 1
ENSG00000115966 ENSG00000124762 1
ENSG00000115966 ENSG00000110245 1
ENSG00000115966 ENSG00000162772 1
ENSG00000115966 ENSG00000110092 1
ENSG00000115966 ENSG00000111537 1
ENSG00000115966 ENSG00000170345 1
ENSG00000115966 ENSG00000179142 1
ENSG00000115966 ENSG00000139687 1
ENSG00000115966 ENSG00000100889 1
ENSG00000115966 ENSG00000153234 1
ENSG00000128272 ENSG00000162733 1
ENSG00000128272 ENSG00000101255 1
ENSG00000128272 ENSG00000169429 1
ENSG00000128272 ENSG00000175197 1
ENSG00000128272 ENSG00000073756 1
ENSG00000128272 ENSG00000162946 1
ENSG00000128272 ENSG00000176046 1
ENSG00000128272 ENSG00000105550 1
ENSG00000128272 ENSG00000168209 1
ENSG00000128272 ENSG00000162772 1
ENSG00000128272 ENSG00000070669 1
ENSG00000128272 ENSG00000135116 1
ENSG00000128272 ENSG00000112715 1
ENSG00000128272 ENSG00000172216 1
ENSG00000128272 ENSG00000143384 1
ENSG00000128272 ENSG00000128965 1
ENSG00000118217 ENSG00000044574 1
ENSG00000118217 ENSG00000102580 1
ENSG00000118217 ENSG00000100219 1
ENSG00000118217 ENSG00000174437 1
ENSG00000118217 ENSG00000175197 1
ENSG00000118217 ENSG00000112658 1
ENSG00000118217 ENSG00000179218 1
ENSG00000118217 ENSG00000133318 1
ENSG00000118217 ENSG00000166598 1
ENSG00000118217 ENSG00000071537 1
ENSG00000156273 ENSG00000146700 1
ENSG00000156273 ENSG00000186868 1
ENSG00000156273 ENSG00000100292 -1
ENSG00000156273 ENSG00000124588 1
ENSG00000156273 ENSG00000006652 1
ENSG00000156273 ENSG00000078269 1
ENSG00000156273 ENSG00000153317 1
ENSG00000156273 ENSG00000134146 1
ENSG00000156273 ENSG00000169871 1
